11,2,5
17,3,11
37,2,7
67,2,6
131,2,56
257,3,239
521,3,293
1031,14,449
2053,2,124
4099,2,1267
8209,7,6385
16411,3,14707
32771,2,22388
65537,3,6422
131101,17,117860
262147,2,10113
524309,2,32798
1048583,5,743962
2097169,47,40764
4194319,3,1213260
8388617,3,1914916
16777259,2,9005897
33554467,2,929551
67108879,3,45126688
134217757,5,92902548
268435459,2,8839082
536870923,3,281599242
1073741827,2,367133369
2147483659,2,1610401862
4294967311,3,869024697
8589934609,19,361941384
17179869209,3,7970536550
34359738421,2,13251062365
68719476767,5,36073648682
137438953481,3,94205351527
274877906951,7,14903233199
549755813911,3,264740754535
1099511627791,3,1076230731022
2199023255579,2,477499207889
4398046511119,7,2662521892724
8796093022237,5,2490411856648
17592186044423,5,7415581016782
35184372088891,3,12658595909428
70368744177679,3,59502427475864
140737488355333,6,29087829884106
281474976710677,6,140061938135394
